date,n_stocks,avg_fwd_ret,med_mcap,top3_stocks,avg_position,pairs
2007-01,15,0.19778880684547484,0.0,sz000688 sh600523 sz002096,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,15,0.2833087198470565,0.0,sz000672 sh600052 sz000757,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,15,0.15270797886520648,0.0,sz000039 sz002115 sh601005,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-04,15,0.28291311542867853,0.0,sh600155 sz000887 sz000409,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-05,15,0.13205124661759682,0.0,sz000058 sh600610 sh601998,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-06,15,-0.22724440348726968,0.0,sz000902 sz000524 sz000045,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-07,15,0.22982882699767207,0.0,sz000561 sh600716 sh600094,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-08,15,0.19186459136252446,0.0,sh600155 sz002102 sh600892,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-09,15,-0.017390080399272107,0.0,sz002156 sz000829 sz000719,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-10,15,-0.09474931589123144,0.0,sz002166 sz002171 sh600699,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-11,15,-0.07962733608590723,0.0,sh600076 sz000922 sz000498,1.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-12,15,0.29378574702028143,0.0,sh600064 sz002188 sz000609,0.4,max_xgap|max_xsr5|amihxmax_|gapxsr5
2008-01,15,-0.12180807179282852,0.0,sh601099 sh601318 sh600604,0.7,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-02,15,0.1232433486126825,0.0,sz002203 sz000605 sz002178,0.2,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-03,15,-0.26773201395711,0.0,sh600664 sz002215 sh600714,0.4,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-04,15,0.13072408067389832,0.0,sh600109 sz000420 sh600478,0.4,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-05,15,-0.11000959599853545,0.0,sh600331 sz002224 sz002225,0.7,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-06,15,-0.24155543407198649,0.0,sz002238 sz000656 sz000409,0.2,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-07,15,0.08960863126962083,0.0,sh600556 sh600751 sh600699,0.15,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-08,15,-0.2880729510081242,0.0,sz000034 sz000423 sz000020,0.15,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-09,15,-0.12156545988020007,0.0,sh600743 sz000657 sh600691,0.15,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-10,15,-0.2843668775663358,0.0,sz002273 sz002272 sz000409,0.4,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-11,15,0.2049672673474439,0.0,sh600787 sz000518 sh600729,0.15,max_xsr5|max_xgap|amihxmax_|gapxsr5
2008-12,15,0.077062972953517,0.0,sh600792 sh600096 sz000409,0.4,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-01,15,0.1408507607669794,0.0,sz000722 sh600155 sh600734,0.7,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-02,15,0.04198117400635302,0.0,sz000637 sh600381 sz002242,0.2,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-03,15,0.23582663293395079,0.0,sh600084 sh600885 sh600155,0.7,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-04,15,0.04036153930242073,0.0,sh600259 sh600827 sh600892,0.2,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-05,15,0.05710269899158306,0.0,sh600340 sh600617 sh600207,0.7,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-06,15,0.038776127639598194,0.0,sz000791 sz000030 sh600054,0.2,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-07,15,0.18827554097945723,0.0,sz000683 sh600678 sz002092,0.7,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-08,15,-0.1919269950599867,0.0,sz000722 sh600748 sh600425,0.2,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-09,15,0.08472560619635774,0.0,sh600149 sz000709 sh600369,0.4,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-10,15,0.03102988893375364,0.0,sz000561 sh600511 sh600119,0.4,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-11,15,0.12024311739918395,0.0,sz300014 sz300012 sz300025,0.7,max_xsr5|max_xgap|amihxmax_|gapxsr5
2009-12,15,0.04666171680410041,0.0,sz000657 sz000010 sh600382,0.2,max_xsr5|max_xgap|amihxmax_|gapxsr5
2010-01,15,-0.0844430227216841,0.0,sz000718 sz000069 sh600520,0.7,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-02,15,0.09075152062183837,0.0,sz002337 sh601877 sz300043,0.2,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-03,15,0.04156018705667577,0.0,sz300056 sh601688 sh600251,0.4,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-04,15,-0.13246552257844046,0.0,sh601158 sh600740 sh600487,0.7,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-05,15,-0.09261360766037958,0.0,sz002394 sz002391 sz002268,0.2,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-06,15,-0.06509295392990629,0.0,sz002412 sz300081 sz002246,0.15,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-07,15,0.19808980725197559,0.0,sz002438 sz002324 sh600193,0.15,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-08,15,0.11973570260357783,0.0,sz300095 sz300097 sz300093,0.7,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-09,15,-0.04799951542957978,0.0,sz302132 sh600325 sh600622,0.2,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-10,15,0.09709442812669639,0.0,sz002479 sz002108 sz002468,0.7,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-11,15,-0.0389796592922631,0.0,sz002016 sz002145 sh600892,1.0,max_xsr5|amihxmax_|gapxsr5|max_xgap
2010-12,15,-0.008880764627828334,0.0,sz002466 sz002314 sz000758,0.4,max_xsr5|amihxmax_|gapxsr5|max_xgap
2011-01,15,-0.05387284309533816,0.0,sz002530 sz002532 sh601880,0.4,max_xsr5|amihxmax_|max_xgap|gapxsr5
2011-02,15,0.07864075864318883,0.0,sz002544 sh601519 sz002494,0.4,max_xsr5|amihxmax_|max_xgap|gapxsr5
2011-03,15,-0.023767996263186042,0.0,sz002552 sz300182 sz300092,0.7,max_xsr5|amihxmax_|max_xgap|gapxsr5
2011-04,15,-0.08985875118033346,0.0,sz002568 sz300192 sz002339,1.0,max_xsr5|amihxmax_|max_xgap|gapxsr5
2011-05,15,-0.08449857145832092,0.0,sz002399 sz300076 sz002519,0.4,max_xsr5|amihxmax_|max_xgap|gapxsr5
2011-06,15,0.0186123689862834,0.0,sh600351 sz002416 sz002132,0.4,max_xsr5|amihxmax_|max_xgap|gapxsr5
2011-07,15,0.04622248503452909,0.0,sh600331 sz300055 sz002593,0.4,max_xsr5|amihxmax_|max_xgap|gapxsr5
